individuo,mean_acc64,median_acc64,std_acc64,min_acc64,max_acc64,mean_loss64,median_loss64,std_loss64,min_loss64,max_loss64
84,0.5784722278515498,0.5885416716337204,0.05058492633782348,0.6614583432674408,0.4739583432674408,0.8637911866108576,0.8617815226316452,0.09228532444591399,1.0696317851543427,0.7247440069913864
86,0.755208338300387,0.7083333432674408,0.09250719327765068,0.9375,0.6614583432674408,0.5971554547548295,0.5870643109083176,0.1280565293757786,0.7763535380363464,0.3714502900838852
95,0.6413194497426351,0.625,0.07708489711006286,0.8020833432674408,0.5208333432674408,0.8274062732855479,0.7633607983589172,0.15239694213730123,1.0782138258218765,0.6321057081222534
98,0.5895833387970925,0.6171875074505806,0.08895329254416463,0.7083333432674408,0.4166666716337204,0.9107380357881387,0.8127424791455269,0.16874317642873277,1.2110760509967804,0.7204131484031677
105,0.7322916706403096,0.7291666716337204,0.0566504512438432,0.8385416716337204,0.6302083432674408,0.6240560444692771,0.6067468412220478,0.10339967423002662,0.8204324841499329,0.4822188541293144
1,0.7131944467624028,0.7135416716337204,0.046796488316773736,0.8229166716337204,0.6354166716337204,0.6497929126024247,0.6348277106881142,0.06631458172559758,0.779326543211937,0.5514223873615265
4,0.8524305591980617,0.84375,0.03932971844350695,0.9322916716337204,0.7916666716337204,0.37109716633955636,0.3898231089115143,0.06346831905423092,0.49129706621170044,0.2680104225873947
6,0.7159722278515498,0.7395833432674408,0.048816530084864355,0.7760416716337204,0.609375,0.6772311607996623,0.713441975414753,0.07705428392823584,0.8045763224363327,0.5491320192813873
12,0.7100694487492244,0.7083333432674408,0.06386435302752445,0.8333333432674408,0.6145833432674408,0.6333765506744384,0.6509230732917786,0.09574062584987354,0.7633218020200729,0.40992239862680435
29,0.7840277830759684,0.7760416716337204,0.04243504633408674,0.8489583432674408,0.6979166716337204,0.5209240856269995,0.5193167626857758,0.0588601994763868,0.6287738382816315,0.39940977841615677
35,0.7052083383003871,0.703125,0.04787890858850628,0.796875,0.625,0.7061951066056887,0.6742745637893677,0.11420504110846519,0.938750222325325,0.5507629960775375
42,0.6642361183961233,0.6614583432674408,0.04987929106561847,0.7395833432674408,0.5677083432674408,0.8005200793345769,0.7824596613645554,0.04814195643583903,0.9173378348350525,0.7396649867296219
49,0.7128472268581391,0.71875,0.03910838354011004,0.7708333432674408,0.6197916716337204,0.6794360332190991,0.6752207204699516,0.060353975857894454,0.7941702753305435,0.5581928044557571
51,0.8677083383003871,0.8333333432674408,0.07198813193101504,0.984375,0.7864583432674408,0.3860195081681013,0.4732276685535908,0.15043853663850765,0.5289291180670261,0.13499584048986435
56,0.7371527820825576,0.7291666716337204,0.06761121881626755,0.8385416716337204,0.6302083432674408,0.6326546768347422,0.6385325789451599,0.13364687076088308,0.8222131431102753,0.41239599138498306
58,0.7208333373069763,0.734375,0.06909111695590985,0.8489583432674408,0.625,0.6532069618503252,0.6513848155736923,0.08313580670019469,0.791939988732338,0.5206793770194054
69,0.7149305591980616,0.7135416716337204,0.05933742426753085,0.84375,0.625,0.6483840962251027,0.6618864685297012,0.08561768015390774,0.7812785357236862,0.5133282691240311
87,0.5475694487492243,0.5520833358168602,0.035572912224939204,0.609375,0.4895833432674408,1.0111055592695872,0.9985893219709396,0.08884863453109414,1.1579298675060272,0.878311276435852
91,0.7079861161609491,0.6770833432674408,0.07684052121581547,0.8489583432674408,0.6041666716337204,0.6593641951680184,0.6696155890822411,0.14122378596433124,0.8589333444833755,0.4146461635828018
103,0.6319444487492244,0.65625,0.08416827193471134,0.7760416716337204,0.484375,0.8534171665708224,0.822279304265976,0.11597737707052141,1.040274128317833,0.7088156789541245
