baseline,data,individuo,n_dados_treinamento,dados_treinamento,dados_validacao,modelo_treinado,acc,loss,parametros
True,1644076138.8412378,95,2,"[4, 12]",[8],baseline_0.5913_1642519702,0.796875,0.5728186741471291,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076141.523257,95,2,"[8, 4]",[12],baseline_0.5913_1642519702,0.5885416716337204,0.9934723079204559,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076144.4047635,98,2,"[8, 12]",[4],baseline_0.5913_1642519702,0.671875,0.6545023173093796,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076147.307316,98,2,"[4, 12]",[8],baseline_0.5913_1642519702,0.7135416716337204,0.6506074368953705,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076149.8806546,98,2,"[8, 4]",[12],baseline_0.5913_1642519702,0.4895833358168602,1.109854906797409,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076153.2530813,105,2,"[8, 12]",[4],baseline_0.5913_1642519702,0.75,0.5265885666012764,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076157.3612332,105,2,"[4, 12]",[8],baseline_0.5913_1642519702,0.7864583432674408,0.5882333070039749,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076161.5786655,105,2,"[8, 4]",[12],baseline_0.5913_1642519702,0.7083333432674408,0.875994473695755,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076170.175557,1,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.7552083432674408,0.5298751443624496,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076174.753061,1,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.7708333432674408,0.5509054958820343,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076178.0131307,1,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.6979166716337204,0.5951128378510475,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
