individuo,mean_acc,median_acc,std_acc,min_acc,max_acc,mean_loss,median_loss,std_loss,min_loss,max_loss
48,0.649305559694767,0.7552083432674408,0.15719237528858895,0.765625,0.4270833358168602,0.7557059302926064,0.6080880612134933,0.22596840276391375,1.0749721974134445,0.5840575322508812
93,0.4913194477558136,0.5208333432674408,0.08551118417085739,0.578125,0.375,1.0233199149370193,0.9864457994699478,0.05488064273317618,1.1009013056755066,0.9826126396656036
16,0.5815972288449606,0.5885416716337204,0.042808432456286,0.6302083432674408,0.5260416716337204,0.8729496796925863,0.8697381764650345,0.034539519957869864,0.9167660027742386,0.8323448598384857
28,0.5868055621782938,0.5989583432674408,0.04130339769486046,0.6302083432674408,0.53125,0.9187074278791746,0.9243147745728493,0.014770115590982373,0.93332938849926,0.8984781205654144
102,0.6701388955116272,0.6614583432674408,0.03666442630747706,0.71875,0.6302083432674408,0.8713404387235641,0.9407479763031006,0.09860587390379809,0.9413821846246719,0.7318911552429199
96,0.6440972288449606,0.65625,0.08336949398634999,0.7395833432674408,0.5364583432674408,0.7752287437518438,0.8000346422195435,0.14954536019668851,0.9447164833545685,0.5809351056814194
15,0.9618055572112402,0.96875,0.021822576041982997,0.984375,0.9322916716337204,0.1191271065423886,0.11997317615896463,0.002476219654456658,0.12164696492254734,0.11576117854565382
41,0.6597222288449606,0.6458333432674408,0.023421422080616632,0.6927083432674408,0.640625,0.7567504197359085,0.7787604406476021,0.042753925592315146,0.7945154458284378,0.6969753727316856
27,0.4774305572112401,0.4895833358168602,0.13847594765361568,0.640625,0.3020833358168602,1.0251194387674332,1.00857812166214,0.13413704030844376,1.1970479935407639,0.8697322010993958
38,0.4878472288449605,0.4895833432674408,0.023421415453331127,0.515625,0.4583333432674408,1.048415516813596,1.0448685586452484,0.015241465239255103,1.0686014294624329,1.031776562333107
108,0.4409722263614337,0.4791666716337204,0.0653755927754467,0.4947916716337204,0.3489583358168602,1.062501072883606,1.0542023032903671,0.012829068111570247,1.0806227624416351,1.0526781529188156
54,0.520833338300387,0.5260416716337204,0.09575404328567831,0.6354166716337204,0.4010416716337204,0.9089755043387413,1.0229978263378143,0.1708991366864611,1.0365150272846222,0.6674136593937874
34,0.642361119389534,0.5729166716337204,0.13670152643157146,0.8333333432674408,0.5208333432674408,0.792290116349856,0.8766965121030807,0.24928234669887797,1.046514317393303,0.4536595195531845
79,0.4982638955116272,0.4947916716337204,0.021404213407974236,0.5260416716337204,0.4739583432674408,1.029431864619255,1.008889079093933,0.03901420145564145,1.0840502679347992,0.9953562468290329
7,0.8315972238779068,0.84375,0.037154401978129775,0.8697916716337204,0.78125,0.42448951303958893,0.41825591027736664,0.08834040157757192,0.5356660038232803,0.3195466250181198
82,0.5347222276031971,0.5260416679084301,0.07467296464903857,0.6302083432674408,0.4479166716337204,0.8893898079792658,0.8883797526359558,0.10709120062715194,1.0210513174533844,0.7587383538484573
63,0.5503472288449606,0.5364583432674408,0.08984270136165422,0.6666666716337204,0.4479166716337204,0.8918261577685674,0.9178145974874496,0.0672995359141096,0.9581243842840195,0.7995394915342331
107,0.4774305572112401,0.4791666716337204,0.006495933405649927,0.484375,0.46875,1.0716757675011952,1.0684075951576233,0.009506262268538105,1.08460333943367,1.0620163679122925
97,0.6510416716337204,0.6354166716337204,0.05846339666834283,0.7291666716337204,0.5885416716337204,0.8090180854002634,0.8403588086366653,0.09220906266179853,0.9029701948165894,0.6837252527475357
52,0.661458338300387,0.671875,0.05577214878301326,0.7239583432674408,0.5885416716337204,0.7996551916003227,0.8431125953793526,0.07554645201593317,0.8624515756964684,0.6934014037251472
25,0.6093750049670538,0.6510416716337204,0.0860032328321897,0.6875,0.4895833432674408,0.7592965637644132,0.6952269598841667,0.16734191902330667,0.9886288344860077,0.5940338969230652
60,0.6024305621782938,0.5677083432674408,0.07233564350153655,0.703125,0.5364583432674408,0.8051678811510404,0.8541430532932281,0.09582134701418601,0.8901045620441437,0.6712560281157494
89,0.6197916691501936,0.6041666716337204,0.10054466710184125,0.75,0.5052083358168602,0.8423025583227476,0.8907845318317413,0.10001280430578213,0.9331309646368027,0.7029921784996986
3,0.6128472288449606,0.6041666716337204,0.07891192985666434,0.7135416716337204,0.5208333432674408,0.8537125289440155,0.9012877941131592,0.07163596703025557,0.9073846489191055,0.7524651437997818
57,0.6961805572112402,0.6666666716337204,0.061085457831152115,0.78125,0.640625,0.6802571987112364,0.6742192432284355,0.07670719697409789,0.7770772874355316,0.5894750654697418
70,0.6718750049670538,0.6770833432674408,0.08725577907095658,0.7760416716337204,0.5625,0.7888090411822001,0.7723429352045059,0.17143052918063797,1.0065159350633621,0.5875682532787323
17,0.6076388955116272,0.671875,0.09455033666829135,0.6770833432674408,0.4739583432674408,0.8954578290383021,0.8587222099304199,0.11168863262356644,1.0468647181987762,0.7807865589857101
99,0.4357638955116272,0.4427083432674408,0.025983732295097234,0.4635416716337204,0.4010416716337204,1.0576752126216888,1.0472863614559174,0.01812542722424085,1.0831637382507324,1.0425755381584167
37,0.5173611144224802,0.5,0.03616782866512835,0.5677083432674408,0.484375,0.9852802852789561,0.9891705363988876,0.051765264083577046,1.0466448217630386,0.920025497674942
59,0.5138888955116272,0.5208333432674408,0.030170390818796567,0.546875,0.4739583432674408,1.01815560956796,1.0451684594154358,0.04694976584014035,1.057176798582077,0.9521215707063675
14,0.505208338300387,0.4947916716337204,0.02655739329996242,0.5416666716337204,0.4791666716337204,1.0110484113295872,1.0211730003356934,0.033380719154992924,1.04591765999794,0.9660545736551285
26,0.567708338300387,0.546875,0.03707318790990173,0.6197916716337204,0.5364583432674408,0.9114420165618261,0.8977030217647552,0.04639715006915774,0.9738765507936478,0.8627464771270752
50,0.692708338300387,0.6822916716337204,0.01853659046589679,0.71875,0.6770833432674408,0.7220991129676501,0.7226552367210388,0.02612165387292865,0.7538097873330116,0.6898323148488998
2,0.5416666716337204,0.5416666716337204,0.01275775907699572,0.5572916716337204,0.5260416716337204,0.954469308257103,0.9473554939031601,0.044645775326020105,1.0123577266931534,0.9036947041749954
90,0.6822916716337204,0.6614583432674408,0.04500514450537668,0.7447916716337204,0.640625,0.7444397211074829,0.6978744566440582,0.14071703541639685,0.9352803528308868,0.6001643538475037
80,0.6006944477558136,0.6041666716337204,0.008852462809788667,0.609375,0.5885416716337204,0.9097392708063126,0.9110169261693954,0.06661856811417209,0.9906836897134781,0.8275171965360641
55,0.664930559694767,0.7135416716337204,0.15275804908807797,0.8229166716337204,0.4583333358168602,0.7124726374944051,0.7015859112143517,0.23486053446248137,1.005405679345131,0.43042632192373276
22,0.6545138930281004,0.6770833432674408,0.12646231792432727,0.796875,0.4895833358168602,0.7580469325184822,0.6669060811400414,0.16950041927472853,0.9956215173006058,0.6116131991147995
47,0.5069444477558136,0.5260416716337204,0.030763965960423634,0.53125,0.4635416716337204,0.989835262298584,0.9898948669433594,0.03642569588980557,1.0344176143407822,0.9451933056116104
101,0.7673611144224802,0.7447916716337204,0.04343748380610486,0.828125,0.7291666716337204,0.6495860988895098,0.6032411754131317,0.10493398454179503,0.7948479652404785,0.5506691560149193
31,0.4947916691501935,0.4635416716337204,0.07153957411143642,0.59375,0.4270833358168602,1.0036850770314534,1.0232514441013336,0.060967952848320864,1.0666240006685257,0.921179786324501
85,0.4878472238779068,0.4635416716337204,0.09094306104158856,0.609375,0.390625,0.9759818265835444,0.9909944385290146,0.05117318535615298,1.0297862738370895,0.9071647673845291
24,0.5086805621782938,0.5052083432674408,0.034109175238303494,0.5520833432674408,0.46875,1.0258266131083171,1.0641458332538605,0.06011389490213903,1.0723879933357239,0.9409460127353668
67,0.512152781089147,0.5104166716337204,0.027669055996062963,0.546875,0.4791666716337204,0.9447393069664637,0.9212015122175217,0.06560816394663835,1.034232884645462,0.8787835240364075
78,0.5260416716337204,0.53125,0.015332915358667912,0.5416666716337204,0.5052083432674408,0.9788368692000707,0.9801733791828156,0.02431846066634068,1.0079300254583359,0.9484072029590607
64,0.5885416691501936,0.640625,0.09268297117037542,0.6666666716337204,0.4583333358168602,0.8832721536358198,0.8657623678445816,0.14785736251716308,1.0724785774946213,0.7115755155682564
36,0.8194444477558136,0.8333333432674408,0.05196746459019447,0.875,0.75,0.5964959276219209,0.5677551440894604,0.08977155226877997,0.7179591432213783,0.503773495554924
94,0.4982638905445735,0.484375,0.08139380888848091,0.6041666716337204,0.40625,0.9897790402173996,1.0284432619810104,0.06558317678299912,1.0434574633836746,0.8974363952875137
109,0.5190972288449606,0.5364583432674408,0.03220006136387846,0.546875,0.4739583432674408,1.029999777674675,1.0390659421682358,0.014385899576933817,1.0412396043539047,1.0096937865018845
53,0.5763888905445734,0.5572916716337204,0.03463530697469258,0.625,0.546875,0.9189384480317434,0.9205058366060257,0.026094301183746352,0.950084775686264,0.8862247318029404
8,0.7100694477558136,0.6979166716337204,0.05384743676716353,0.78125,0.6510416716337204,0.7829655483365059,0.8363498151302338,0.1196963228487417,0.8953899294137955,0.6171569004654884
39,0.5694444477558136,0.5885416716337204,0.030763965960423634,0.59375,0.5260416716337204,0.9899032562971115,1.0075320601463318,0.06614473017443222,1.0606476813554764,0.9015300273895264
23,0.4253472263614337,0.3802083358168602,0.07132860671893261,0.5260416716337204,0.3697916716337204,1.0795740882555644,1.0871650278568268,0.015408810835838222,1.0934684574604034,1.058088779449463
65,0.5451388955116272,0.5052083432674408,0.07959647722719716,0.65625,0.4739583432674408,0.888967975974083,0.9708779603242874,0.1233017584718379,0.9813285917043686,0.7146973758935928
